Type	Test	#Threads	Runtime
PointerBased	Ins/Rem		1	0.8915944
Coarse-Grain	Ins/Rem		1	0.9938711
Fine-Grain	Ins/Rem		1	1.0975445
Optimistic	Ins/Rem		1	0.9630354
LockFree	Ins/Rem		1	1.3875803
Coarse-Grain	Ins/Rem		2	1.4121893
Fine-Grain	Ins/Rem		2	1.3344794
Optimistic	Ins/Rem		2	0.6214165
LockFree	Ins/Rem		2	1.1867896
Coarse-Grain	Ins/Rem		3	1.4914166
Fine-Grain	Ins/Rem		3	2.6860654
Optimistic	Ins/Rem		3	0.5281038
LockFree	Ins/Rem		3	0.8562778
Coarse-Grain	Ins/Rem		4	1.642644
Fine-Grain	Ins/Rem		4	2.4477667
Optimistic	Ins/Rem		4	0.5701663
LockFree	Ins/Rem		4	0.7169206
Coarse-Grain	Ins/Rem		5	1.7005665
Fine-Grain	Ins/Rem		5	2.5908966
Optimistic	Ins/Rem		5	0.4609898
LockFree	Ins/Rem		5	0.7341172
Coarse-Grain	Ins/Rem		6	1.7201006
Fine-Grain	Ins/Rem		6	3.1976451
Optimistic	Ins/Rem		6	0.4720444
LockFree	Ins/Rem		6	0.7808829
Coarse-Grain	Ins/Rem		7	1.8598009
Fine-Grain	Ins/Rem		7	2.6795101
Optimistic	Ins/Rem		7	0.4402178
LockFree	Ins/Rem		7	0.7782792
Coarse-Grain	Ins/Rem		8	1.8535552
Fine-Grain	Ins/Rem		8	2.6871693
Optimistic	Ins/Rem		8	0.452072
LockFree	Ins/Rem		8	0.7320772
Coarse-Grain	Ins/Rem		9	1.9419189
Fine-Grain	Ins/Rem		9	2.8168102
Optimistic	Ins/Rem		9	0.4171191
LockFree	Ins/Rem		9	0.6699525
Coarse-Grain	Ins/Rem		10	1.8014055
Fine-Grain	Ins/Rem		10	2.8830222
Optimistic	Ins/Rem		10	0.5400318
LockFree	Ins/Rem		10	0.5014387
Coarse-Grain	Ins/Rem		11	1.9061501
Fine-Grain	Ins/Rem		11	3.0818286
Optimistic	Ins/Rem		11	0.492632
LockFree	Ins/Rem		11	0.562475
Coarse-Grain	Ins/Rem		12	1.9669018
Fine-Grain	Ins/Rem		12	3.2046457
Optimistic	Ins/Rem		12	0.4102154
LockFree	Ins/Rem		12	0.5020152
