Type	Test	#Threads	Runtime
PointerBased	Insertion	1	0.2085368
Coarse-Grain	Insertion	1	0.3105298
Fine-Grain	Insertion	1	0.3708007
Optimistic	Insertion	1	0.1802325
LockFree	Insertion	1	0.486625
Coarse-Grain	Insertion	2	0.2900018
Fine-Grain	Insertion	2	0.2878886
Optimistic	Insertion	2	0.1056828
LockFree	Insertion	2	0.3441703
Coarse-Grain	Insertion	3	0.2785085
Fine-Grain	Insertion	3	0.2801805
Optimistic	Insertion	3	0.0722499
LockFree	Insertion	3	0.2777355
Coarse-Grain	Insertion	4	0.3050905
Fine-Grain	Insertion	4	0.3236978
Optimistic	Insertion	4	0.1431144
LockFree	Insertion	4	0.1704871
Coarse-Grain	Insertion	5	0.327499
Fine-Grain	Insertion	5	0.5100667
Optimistic	Insertion	5	0.1385911
LockFree	Insertion	5	0.0937465
Coarse-Grain	Insertion	6	0.4466685
Fine-Grain	Insertion	6	0.3499509
Optimistic	Insertion	6	0.0519376
LockFree	Insertion	6	0.1592174
Coarse-Grain	Insertion	7	0.3809229
Fine-Grain	Insertion	7	0.4657638
Optimistic	Insertion	7	0.0510552
LockFree	Insertion	7	0.10161
Coarse-Grain	Insertion	8	0.4103406
Fine-Grain	Insertion	8	0.4521525
Optimistic	Insertion	8	0.0471518
LockFree	Insertion	8	0.2045903
Coarse-Grain	Insertion	9	0.4126014
Fine-Grain	Insertion	9	0.4194615
Optimistic	Insertion	9	0.1525614
LockFree	Insertion	9	0.0689257
Coarse-Grain	Insertion	10	0.4884606
Fine-Grain	Insertion	10	0.4417477
Optimistic	Insertion	10	0.0423793
LockFree	Insertion	10	0.1947018
Coarse-Grain	Insertion	11	0.5232506
Fine-Grain	Insertion	11	0.4591326
Optimistic	Insertion	11	0.0498059
LockFree	Insertion	11	0.2048522
Coarse-Grain	Insertion	12	0.5382376
Fine-Grain	Insertion	12	0.4659585
Optimistic	Insertion	12	0.0460563
LockFree	Insertion	12	0.185896
